index,Range
1298,23
1299,23
1300,31
1301,31
1302,31
1303,33
1304,28
1305,33
1306,36
1307,33
1308,36
1309,33
1310,29
1311,33
1312,33
1313,29
1314,33
1315,34
1316,34
1317,34
1318,31
1319,31
1320,31
1321,34
1322,34
1323,34
1324,24
1325,34
1326,34
1327,39
1328,19
1329,34
1330,32
1331,38
1332,19
1333,34
1334,34
1335,34
1336,34
1337,32
1338,34
1339,34
1340,31
1341,34
1342,36
1343,33
1344,36
1345,32
1346,29
1347,32
1348,33
1349,33
1350,33
1351,32
1352,32
1353,32
1354,31
1355,31
1356,29
1357,34
1358,34
1359,34
1360,19
1361,12
1362,12
1363,12
1364,24
1365,31
1366,29
1367,31
1368,32
1369,31
1370,32
1371,22
1372,29
1373,21
1374,34
1375,22
1376,34
1377,32
1378,31
1379,32
1380,36
1381,34
1382,34
1383,32
1384,34
1385,32
1386,31
1387,32
1388,38
1389,38
1390,36
1391,29
1392,31
1393,31
1394,31
1395,31
1396,31
1397,31
1398,24
1399,36
1400,31
1401,36
1402,29
1403,29
1404,22
1405,29
1406,29
1407,16
1408,12
1409,14
1410,15
1411,31
1412,31
1413,28
1414,31
1415,26
1416,24
1417,26
1418,38
1419,36
1420,32
1421,34
1422,36
1423,36
1424,34
1425,36
1426,31
1427,31
1428,31
1429,31
1430,32
1431,32
1432,29
1433,32
1434,29
1435,29
1436,27
1437,33
1438,32
1439,36
1440,39
1441,34
1442,27
1443,39
1444,44
1445,32
1446,32
1447,31
1448,31
1449,28
1450,27
1451,39
1452,40
1453,33
1454,43
1455,33
1456,38
1457,38
1458,33
1459,38
1460,38
1461,31
1462,31
1463,31
1464,33
1465,29
1466,33
1467,34
1468,44
1469,34
1470,32
1471,44
1472,34
1473,32
1474,44
1475,36
1476,33
1477,45
1478,38
1479,46
1480,34
1481,37
1482,34
1483,46
1484,39
1485,32
1486,38
1487,44
1488,36
1489,24
1490,24
1491,33
1492,21
1493,28
1494,31
1495,31
1496,31
1497,36
1498,36
1499,36
1500,39
1501,39
1502,39
1503,34
1504,32
1505,24
1506,33
1507,33
1508,33
1509,28
1510,31
1511,38
1512,39
1513,38
1514,37
1515,31
1516,17
1517,23
1518,34
1519,36
1520,51
1521,39
1522,36
1523,33
1524,36
1525,51
1526,39
1527,36
1528,29
1529,33
1530,48
1531,36
1532,38
1533,33
1534,36
1535,50
1536,38
1537,36
1538,31
1539,36
1540,48
1541,36
1542,34
1543,34
1544,36
1545,51
1546,39
1547,36
1548,33
1549,36
1550,32
1551,34
1552,17
1553,11
1554,19
1555,31
1556,31
1557,26
1558,26
1559,41
1560,34
1561,39
1562,34
1563,39
1564,32
1565,38
1566,28
1567,37
1568,38
1569,39
1570,55
1571,55
1572,38
1573,40
1574,40
1575,36
1576,36
1577,38
1578,38
1579,36
1580,36
1581,43
1582,42
1583,41
1584,36
1585,38
1586,32
1587,32
1588,40
1589,40
1590,40
1591,41
1592,41
1593,41
1594,41
1595,38
1596,38
1597,35
1598,35
1599,36
1600,36
1601,38
1602,38
1603,38
1604,40
1605,41
1606,36
1607,40
1608,33
1609,38
1610,38
1611,31
1612,26
1613,41
1614,43
1615,43
1616,41
1617,41
1618,43
1619,40
1620,40
1621,40
1622,40
1623,29
1624,41
1625,41
1626,43
1627,43
1628,41
1629,41
1630,42
1631,41
1632,41
1633,41
1634,39
1635,34
1636,41
1637,41
1638,34
1639,29
1640,33
1641,34
1642,33
1643,41
1644,36
1645,32
1646,38
1647,36
1648,35
1649,36
1650,31
1651,35
1652,31
1653,35
1654,33
1655,33
1656,31
1657,29
1658,31
1659,31
1660,28
1661,29
1662,31
1663,29
1664,31
1665,31
1666,34
1667,29
1668,31
1669,29
1670,29
1671,29
1672,31
1673,32
1674,32
1675,33
1676,34
1677,34
1678,29
1679,31
1680,34
1681,31
1682,32
1683,32
1684,32
1685,31
1686,31
1687,32
1688,31
1689,36
1690,31
1691,31
1692,33
1693,32
1694,32
1695,28
1696,28
1697,32
1698,39
1699,32
1700,36
1701,31
1702,32
1703,34
1704,32
1705,29
1706,29
1707,29
1708,29
1709,31
1710,31
1711,29
1712,29
1713,29
1714,31
1715,31
1716,28
1717,32
1718,31
1719,32
1720,29
1721,29
1722,32
1723,32
1724,32
1725,34
1726,34
1727,34
1728,31
1729,29
1730,29
1731,29
1732,31
1733,29
1734,32
1735,31
1736,32
1737,31
1738,34
1739,34
1740,29
1741,32
1742,31
1743,27
1744,31
1745,31
1746,34
1747,31
1748,29
1749,32
1750,31
1751,34
1752,34
1753,36
1754,27
1755,31
1756,29
1757,32
1758,32
1759,31
1760,29
1761,29
1762,32
1763,32
1764,31
1765,31
1766,26
1767,31
1768,32
1769,32
1770,28
1771,29
1772,29
1773,28
1774,29
1775,31
1776,32
1777,29
1778,31
1779,29
1780,28
1781,29
1782,32
1783,31
1784,32
1785,37
1786,33
1787,33
1788,33
1789,31
1790,32
1791,31
1792,29
1793,33
1794,31
1795,32
1796,31
1797,31
1798,31
1799,29
1800,26
1801,29
1802,31
1803,34
1804,32
1805,32
1806,31
1807,32
1808,29
1809,31
1810,34
1811,36
1812,36
1813,34
1814,36
1815,29
1816,28
1817,27
1818,27
1819,29
1820,28
1821,27
1822,27
1823,29
1824,29
1825,27
1826,27
1827,31
1828,29
1829,29
1830,29
1831,29
1832,29
1833,29
1834,31
1835,31
1836,31
1837,32
1838,32
1839,29
1840,31
1841,29
1842,29
1843,29
1844,32
1845,32
1846,31
1847,33
1848,29
1849,36
1850,34
1851,31
1852,39
1853,22
1854,25
1855,21
1856,18
1857,41
1858,41
1859,33
1860,36
1861,32
1862,32
1863,34
1864,31
1865,27
1866,29
1867,29
1868,29
1869,29
1870,31
1871,31
1872,32
1873,31
1874,34
1875,31
1876,31
1877,27
1878,28
1879,36
1880,36
1881,33
1882,36
1883,45
1884,40
1885,37
1886,32
1887,50
1888,42
1889,43
1890,36
1891,41
1892,34
1893,46
1894,40
1895,41
1896,24
1897,41
1898,41
1899,41
1900,38
1901,33
1902,33
1903,31
1904,38
1905,34
1906,38
1907,38
1908,45
1909,45
1910,45
1911,41
1912,45
1913,43
1914,43
1915,43
1916,36
1917,20
1918,38
1919,36
1920,36
1921,41
1922,17
1923,41
1924,41
1925,41
1926,41
1927,41
1928,24
1929,36
1930,17
1931,36
1932,36
1933,36
1934,24
1935,43
1936,26
1937,29
1938,43
1939,43
1940,43
1941,26
1942,26
1943,38
1944,36
1945,36
1946,41
1947,45
1948,45
1949,33
1950,45
1951,36
1952,29
1953,36
1954,41
1955,48
1956,41
1957,45
1958,45
1959,41
1960,50
1961,41
1962,41
1963,41
1964,38
1965,43
1966,31
1967,45
1968,33
1969,29
1970,29
1971,31
1972,27
1973,31
1974,31
1975,33
1976,36
1977,29
1978,39
1979,34
1980,27
1981,22
1982,39
1983,39
1984,32
1985,39
1986,41
1987,41
1988,36
1989,36
1990,41
1991,41
1992,31
1993,36
1994,36
1995,36
1996,32
1997,34
1998,36
1999,31
2000,36
2001,36
2002,41
2003,41
2004,32
2005,36
2006,41
2007,41
2008,41
2009,32
2010,38
2011,41
2012,41
2013,36
2014,36
2015,41
2016,41
2017,36
2018,36
2019,41
2020,41
2021,34
2022,36
2023,41
2024,41
2025,32
2026,37
2027,38
2028,38
2029,29
2030,38
2031,39
2032,39
2033,34
2034,35
2035,38
2036,38
2037,31
2038,33
2039,34
2040,34
2041,31
2042,34
2043,29
2044,21
2045,29
2046,19
2047,41
2048,39
2049,33
2050,39
2051,32
2052,32
2053,32
2054,32
2055,29
2056,29
2057,34
2058,31
2059,39
2060,39
2061,39
2062,27
2063,40
2064,32
2065,40
2066,37
2067,27
2068,46
2069,41
2070,40
2071,46
2072,36
2073,31
2074,31
2075,31
2076,29
2077,29
2078,29
2079,26
2080,28
2081,34
2082,29
2083,31
2084,31
2085,31
2086,31
2087,23
2088,27
2089,27
2090,33
2091,32
2092,36
2093,44
2094,39
2095,34
2096,40
2097,31
2098,41
2099,41
2100,46
2101,34
2102,38
2103,38
2104,36
2105,32
2106,31
2107,38
2108,36
2109,45
2110,45
2111,33
2112,33
2113,28
2114,33
2115,33
2116,38
2117,34
2118,31
2119,46
2120,36
2121,17
2122,38
2123,32
2124,37
2125,17
2126,37
2127,32
2128,37
2129,37
2130,41
2131,36
2132,37
2133,41
2134,46
2135,46
2136,48
2137,40
2138,38
2139,48
2140,48
2141,44
2142,44
2143,43
2144,43
2145,36
2146,36
2147,51
2148,51
2149,43
2150,43
2151,49
2152,49
2153,39
2154,39
2155,51
2156,42
2157,44
2158,51
2159,21
2160,43
2161,33
2162,43
2163,43
2164,33
2165,33
2166,35
2167,36
2168,33
2169,41
2170,45
2171,47
2172,47
2173,27
2174,47
2175,41
2176,45
2177,47
2178,34
2179,34
2180,24
2181,34
2182,37
2183,37
2184,24
2185,37
2186,34
2187,34
2188,24
2189,34
2190,44
2191,39
2192,39
2193,42
2194,44
2195,44
2196,25
2197,42
2198,37
2199,42
2200,25
2201,42
2202,33
2203,33
2204,40
2205,33
2206,45
2207,45
2208,50
2209,50
2210,53
2211,41
2212,53
2213,41
2214,34
2215,41
2216,44
2217,36
2218,41
2219,43
2220,34
2221,36
2222,29
2223,36
2224,41
2225,31
2226,41
2227,48
2228,40
2229,48
2230,39
2231,31
2232,39
2233,41
2234,29
2235,38
2236,48
2237,36
2238,53
2239,42
2240,53
2241,43
2242,34
2243,43
2244,48
2245,38
2246,48
2247,47
2248,36
2249,44
2250,38
2251,31
2252,38
2253,46
2254,36
2255,46
